date,n,ic,rankic,icir,rankicir
2024-07-30,312,0.32940194,0.35025565,,
2024-07-31,312,-0.01290680,-0.02730939,,
2024-08-01,312,0.09422180,0.08986838,,
2024-08-02,313,0.01816563,-0.02080116,,
2024-08-05,313,0.04321564,0.01434829,,
2024-08-06,313,-0.23318121,-0.28691132,,
2024-08-07,313,-0.25827210,-0.29618166,,
2024-08-08,313,-0.33816209,-0.35985901,,
2024-08-09,313,-0.32814644,-0.33472019,,
2024-08-12,313,-0.33863248,-0.36272126,,
2024-08-13,313,-0.43909047,-0.43371202,,
2024-08-14,313,-0.40590281,-0.41444389,,
2024-08-15,313,-0.44588074,-0.43950488,,
2024-08-16,313,-0.39928620,-0.40001713,,
2024-08-19,313,-0.26678016,-0.30001920,,
2024-08-20,313,-0.23094132,-0.27636894,,
2024-08-21,313,-0.07383003,-0.10855983,,
2024-08-22,312,0.30461689,0.33456752,,
2024-08-23,312,0.21255168,0.36414976,,
2024-08-26,312,0.15485052,0.16121353,,
2024-08-27,312,0.24892286,0.31791771,,
2024-08-28,312,0.27970122,0.25647700,,
2024-08-29,312,0.17073093,0.17301257,,
2024-08-30,312,-0.05719313,-0.05057883,,
2024-09-02,312,0.13475886,0.17931192,,
2024-09-03,311,-0.00284209,0.02497846,,
2024-09-04,311,0.13572061,0.19519644,,
2024-09-05,312,0.03933417,0.06575174,,
2024-09-06,310,0.10315269,0.07345141,,
2024-09-09,310,-0.03350185,-0.06709271,,
2024-09-10,310,0.04849052,0.05390050,,
2024-09-11,310,-0.28320324,-0.22330588,,
2024-09-12,310,-0.26761888,-0.27338001,,
2024-09-13,310,-0.10032464,-0.11680966,,
2024-09-18,310,-0.04630637,-0.03495902,,
2024-09-19,311,-0.01723708,0.00102368,,
2024-09-20,311,0.25268741,0.29301009,,
2024-09-23,311,0.32377970,0.39737388,,
2024-09-24,311,0.36735943,0.42183723,,
2024-09-25,311,0.30383411,0.38561590,,
2024-09-26,311,0.17671167,0.32682063,,
2024-09-27,311,0.19567833,0.14087706,,
2024-09-30,311,0.05562928,-0.03777769,,
2024-10-08,311,-0.46719157,-0.47294336,,
2024-10-09,311,-0.22347044,-0.23407053,,
2024-10-10,313,0.15335465,-0.11462270,,
2024-10-11,313,0.15014218,0.10469999,,
2024-10-14,313,0.22173026,0.25815122,,
2024-10-15,313,0.28062810,0.30746139,,
2024-10-16,313,0.31334606,0.31179682,,
2024-10-17,313,0.21735385,0.34341247,,
2024-10-18,313,0.11998104,0.30472730,,
2024-10-21,313,0.30101828,0.31386409,,
2024-10-22,313,0.22628138,0.20537952,,
2024-10-23,313,0.40116551,0.25577621,,
2024-10-24,313,0.25465997,0.25551756,,
2024-10-25,313,-0.03781905,-0.12701864,,
2024-10-28,312,-0.08413792,-0.19404676,,
2024-10-29,312,0.06796685,0.02142197,,
2024-10-30,312,0.02777093,0.09451978,,
2024-10-31,312,-0.08933426,0.03566009,,
