date,n_available,gross_return,turnover,cost,net_return
2025-04-29,20,0.000690500882000511,0.0,0.0,0.000690500882000511
2025-04-30,20,0.004971061193256271,0.0,0.0,0.004971061193256271
2025-05-06,20,0.04118356006279307,0.0,0.0,0.04118356006279307
2025-05-07,20,0.0037239405116210266,0.0,0.0,0.0037239405116210266
2025-05-08,20,0.010500223112480311,0.0,0.0,0.010500223112480311
2025-05-09,20,-0.012385488445474813,0.0,0.0,-0.012385488445474813
2025-05-12,20,0.01810200546902631,0.0,0.0,0.01810200546902631
2025-05-13,20,-0.01001012233389854,0.0,0.0,-0.01001012233389854
2025-05-14,20,-0.00047015854263540713,0.0,0.0,-0.00047015854263540713
2025-05-15,20,-0.016768634644246133,0.0,0.0,-0.016768634644246133
2025-05-16,20,0.001004998453924283,0.0,0.0,0.001004998453924283
2025-05-19,20,-0.0010887433899696819,0.0,0.0,-0.0010887433899696819
