date,n_available,gross_return,turnover,cost,net_return
2025-03-24,47,-0.00781975505321399,0.0,0.0,-0.00781975505321399
2025-03-25,47,-0.006229678004902089,0.0,0.0,-0.006229678004902089
2025-03-26,47,0.003213439685567253,0.0,0.0,0.003213439685567253
2025-03-27,47,-0.0010966173235772284,0.0,0.0,-0.0010966173235772284
2025-03-28,47,-0.013945420203379712,0.0,0.0,-0.013945420203379712
2025-03-31,47,-0.003545321680257702,0.0,0.0,-0.003545321680257702
2025-04-01,47,0.00730373736724338,0.0,0.0,0.00730373736724338
2025-04-02,47,0.0024362595207683916,0.0,0.0,0.0024362595207683916
2025-04-03,47,-0.015906848348512685,0.0,0.0,-0.015906848348512685
2025-04-07,47,-0.11702182311591733,0.0,0.0,-0.11702182311591733
2025-04-08,47,0.003692251573332941,0.0,0.0,0.003692251573332941
2025-04-09,47,0.024006974694619758,0.0,0.0,0.024006974694619758
2025-04-10,47,0.01958117493865851,0.0,0.0,0.01958117493865851
2025-04-11,47,0.020731862628934974,0.0,0.0,0.020731862628934974
2025-04-14,47,0.01065497016295767,0.0,0.0,0.01065497016295767
2025-04-15,47,-0.0054977145293393795,0.0,0.0,-0.0054977145293393795
2025-04-16,47,-0.01115438485983578,0.0,0.0,-0.01115438485983578
2025-04-17,47,0.007770873926447224,0.0,0.0,0.007770873926447224
2025-04-18,47,0.004917828315942815,0.0,0.0,0.004917828315942815
2025-04-21,47,0.021048870528552362,0.0,0.0,0.021048870528552362
2025-04-22,47,-0.0031462920465702804,0.0,0.0,-0.0031462920465702804
2025-04-23,47,0.009489542091939794,0.0,0.0,0.009489542091939794
2025-04-24,47,-0.011725936004412336,0.0,0.0,-0.011725936004412336
2025-04-25,47,0.005020154571142501,0.0,0.0,0.005020154571142501
2025-04-28,47,-0.010060154420523295,0.0,0.0,-0.010060154420523295
2025-04-29,47,0.002438381270874616,0.0,0.0,0.002438381270874616
2025-04-30,47,0.005739402577907322,0.0,0.0,0.005739402577907322
2025-05-06,47,0.033809365382111295,0.0,0.0,0.033809365382111295
2025-05-07,47,0.005804903939658552,0.0,0.0,0.005804903939658552
2025-05-08,47,0.01096006978643136,0.0,0.0,0.01096006978643136
2025-05-09,47,-0.00977254750605679,0.0,0.0,-0.00977254750605679
2025-05-12,47,0.017019020439676916,0.0,0.0,0.017019020439676916
2025-05-13,47,-0.010563952557931876,0.0,0.0,-0.010563952557931876
2025-05-14,47,0.0014577801814579334,0.0,0.0,0.0014577801814579334
2025-05-15,47,-0.01044570910290479,0.0,0.0,-0.01044570910290479
2025-05-16,47,0.0025663200978094263,0.0,0.0,0.0025663200978094263
2025-05-19,47,-0.0022155785519508415,0.0,0.0,-0.0022155785519508415
2025-05-20,47,0.007888167699654378,0.0,0.0,0.007888167699654378
2025-05-21,47,-0.007462765182010248,0.0,0.0,-0.007462765182010248
2025-05-22,47,-0.013663662713091171,0.0,0.0,-0.013663662713091171
2025-05-23,47,-0.013181134448778123,0.0,0.0,-0.013181134448778123
2025-05-26,47,0.01129872352979497,0.0,0.0,0.01129872352979497
2025-05-27,47,-0.008205467031993553,0.0,0.0,-0.008205467031993553
2025-05-28,47,-0.0014586693680659346,0.0,0.0,-0.0014586693680659346
2025-05-29,47,0.015451706702968348,0.0,0.0,0.015451706702968348
2025-05-30,47,-0.008194757630024153,0.0,0.0,-0.008194757630024153
