candidate,candidate_label,market,topk,variant,cost_bps,days,candidate_ann_return,menu_ann_return,ann_diff,candidate_sharpe,menu_sharpe,sharpe_diff,candidate_mdd,menu_mdd,mdd_diff,ann_win,sharpe_win,mdd_win
case_lingxi_context_router,Conservative context router,crypto_major,5,industry_size_neutral,5.00,1261,0.76339169,0.83222568,-0.06883400,1.80348222,1.86102847,-0.05754625,-0.63107528,-0.60859523,-0.02248005,False,False,False
case_lingxi_context_router,Conservative context router,crypto_major,5,industry_size_neutral,10.00,1261,0.71955866,0.79083498,-0.07127632,1.73073940,1.79703879,-0.06629939,-0.64306074,-0.62035164,-0.02270910,False,False,False
case_lingxi_context_router,Conservative context router,crypto_major,5,industry_size_neutral,20.00,1261,0.63511349,0.71081860,-0.07570511,1.58515590,1.66901779,-0.08386189,-0.66605544,-0.64282154,-0.02323390,False,False,False
case_lingxi_context_router,Conservative context router,crypto_major,5,industry_size_neutral,50.00,1261,0.40571246,0.49145656,-0.08574410,1.14784783,1.28479697,-0.13694914,-0.76573677,-0.73266634,-0.03307043,False,False,False
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,10,raw,0.00,347,1.90795243,2.96872074,-1.06076831,7.43857979,7.84063266,-0.40205288,-0.09360856,-0.09314288,-0.00046568,False,False,False
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,10,raw,5.00,347,1.83438839,2.90047249,-1.06608410,7.25417142,7.74035761,-0.48618619,-0.09917572,-0.09378380,-0.00539192,False,False,False
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,10,raw,10.00,347,1.76267544,2.83339144,-1.07071600,7.06981446,7.64003101,-0.57021655,-0.10470952,-0.09442432,-0.01028520,False,False,False
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,10,raw,20.00,347,1.62461860,2.70265183,-1.07803323,6.70135861,7.43924224,-0.73788363,-0.11567784,-0.09570415,-0.01997369,False,False,False
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,10,raw,50.00,347,1.25028624,2.33644879,-1.08616255,5.59988408,6.83613403,-1.23624996,-0.14780228,-0.10486716,-0.04293512,False,False,False
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,10,industry_size_neutral,0.00,347,1.76015987,2.19852037,-0.43836050,7.37616693,7.51339042,-0.13722349,-0.07130010,-0.08611857,0.01481847,False,False,True
case_lingxi_tabular_rl_router,Frozen tabular RL router,cn_a_share,10,industry_size_neutral,5.00,347,1.69678107,2.14156649,-0.44478543,7.20502584,7.39775304,-0.19272720,-0.07260499,-0.08703978,0.01443478,False,False,True
