market,method,variant,horizon,topk,cost_bps,days,ann_return,ann_vol,sharpe,mdd,cum_return,active_ann_return,active_sharpe,avg_turnover,hit_rate,avg_max_industry_weight,avg_size_exposure,yearly_ann_returns,daily_source
us_large_cap,qlib_alpha158,raw,5,10,10.00,752,0.35698504,0.07994590,4.46533286,-0.17224402,1.48668524,0.05478017,1.60259535,0.00066489,0.61436170,0.40000000,0.26362921,2023:0.4999;2024:0.3138;2025:0.2684,experiments\lingxi_topk_comparison\us_large_cap\qlib_alpha158_h5_top10_raw_daily.csv
us_large_cap,qlib_alpha158,industry_size_neutral,5,10,10.00,752,0.35698504,0.07994590,4.46533286,-0.17224402,1.48668524,0.05478017,1.60259535,0.00066489,0.61436170,0.40000000,0.26362921,2023:0.4999;2024:0.3138;2025:0.2684,experiments\lingxi_topk_comparison\us_large_cap\qlib_alpha158_h5_top10_industry_size_neutral_daily.csv
us_large_cap,qlib_alpha158,raw,5,5,10.00,752,0.30142089,0.09599279,3.14003668,-0.21343133,1.19501336,0.01198545,0.21435290,0.00066489,0.56250000,0.60000000,0.65386020,2023:0.6434;2024:0.1242;2025:0.1945,experiments\lingxi_topk_comparison\us_large_cap\qlib_alpha158_h5_top5_raw_daily.csv
us_large_cap,qlib_alpha158,industry_size_neutral,5,5,10.00,752,0.30142089,0.09599279,3.14003668,-0.21343133,1.19501336,0.01198545,0.21435290,0.00066489,0.56250000,0.60000000,0.65386020,2023:0.6434;2024:0.1242;2025:0.1945,experiments\lingxi_topk_comparison\us_large_cap\qlib_alpha158_h5_top5_industry_size_neutral_daily.csv
us_large_cap,fintsb_ts,raw,5,30,10.00,752,0.30775959,0.06630508,4.64156876,-0.15793950,1.22707116,0.01596584,1.16608429,0.06950355,0.62632979,0.29902482,0.02731661,2023:0.4003;2024:0.2482;2025:0.2801,experiments\lingxi_topk_comparison\us_large_cap\fintsb_ts_h5_top30_raw_daily.csv
us_large_cap,fintsb_ts,industry_size_neutral,5,30,10.00,752,0.26594527,0.06181495,4.30228112,-0.14423662,1.02124595,-0.01679972,-1.54615739,0.06529255,0.62500000,0.23173759,-0.05416006,2023:0.3398;2024:0.2287;2025:0.2328,experiments\lingxi_topk_comparison\us_large_cap\fintsb_ts_h5_top30_industry_size_neutral_daily.csv
us_large_cap,fintsb_ts,raw,5,20,10.00,752,0.34151087,0.07830887,4.36107516,-0.17471990,1.40301944,0.04277375,1.47008899,0.11502660,0.61436170,0.35904255,0.13451563,2023:0.5162;2024:0.2302;2025:0.2952,experiments\lingxi_topk_comparison\us_large_cap\fintsb_ts_h5_top20_raw_daily.csv
us_large_cap,fintsb_ts,industry_size_neutral,5,20,10.00,752,0.25428327,0.06896912,3.68691492,-0.16414526,0.96618807,-0.02556797,-1.21605408,0.12473404,0.58643617,0.25764628,-0.00186759,2023:0.3550;2024:0.2035;2025:0.2104,experiments\lingxi_topk_comparison\us_large_cap\fintsb_ts_h5_top20_industry_size_neutral_daily.csv
us_large_cap,fintsb_ts,raw,5,10,10.00,752,0.40692613,0.10000555,4.06903544,-0.20438315,1.76987630,0.09449865,1.67123665,0.16901596,0.58909574,0.46848404,0.32513320,2023:0.7497;2024:0.1672;2025:0.3656,experiments\lingxi_topk_comparison\us_large_cap\fintsb_ts_h5_top10_raw_daily.csv
us_large_cap,fintsb_ts,industry_size_neutral,5,10,10.00,752,0.25303449,0.08772044,2.88455560,-0.20228152,0.96035220,-0.02582980,-0.58910152,0.18377660,0.55186170,0.36356383,0.13444134,2023:0.4297;2024:0.1489;2025:0.1986,experiments\lingxi_topk_comparison\us_large_cap\fintsb_ts_h5_top10_industry_size_neutral_daily.csv
us_large_cap,fintsb_ts,raw,5,5,10.00,752,0.41384903,0.12344768,3.35242443,-0.25707218,1.81074706,0.10052814,1.17912670,0.19906915,0.57313830,0.61861702,0.48680959,2023:0.9582;2024:0.2057;2025:0.1986,experiments\lingxi_topk_comparison\us_large_cap\fintsb_ts_h5_top5_raw_daily.csv
us_large_cap,fintsb_ts,industry_size_neutral,5,5,10.00,752,0.22905240,0.10761057,2.12853066,-0.23956583,0.85050150,-0.04416662,-0.61749428,0.22460106,0.55319149,0.51063830,0.26876522,2023:0.5452;2024:0.1126;2025:0.0807,experiments\lingxi_topk_comparison\us_large_cap\fintsb_ts_h5_top5_industry_size_neutral_daily.csv
