candidate,candidate_label,market,topk,variant,days,candidate_ann_return,menu_ann_return,ann_diff,candidate_sharpe,menu_sharpe,sharpe_diff,candidate_mdd,menu_mdd,mdd_diff,ann_diff_bootstrap_ci_low,ann_diff_bootstrap_ci_high,sharpe_diff_bootstrap_ci_low,sharpe_diff_bootstrap_ci_high,mdd_diff_bootstrap_ci_low,mdd_diff_bootstrap_ci_high,ann_win,sharpe_win,mdd_win,positive_ann_ci,positive_sharpe_ci,positive_mdd_ci,state,candidate_daily_source,menu_daily_source
case_lingxi_tabular_rl_router,Frozen tabular RL router,hk_large_cap,5,industry_size_neutral,353,0.48947584,0.43744131,0.05203453,4.73138043,4.49854544,0.12304102,-0.13735455,-0.15123383,0.01387928,-0.09039387,0.17323750,-1.26699219,1.48804347,-0.05592442,0.04568432,True,True,True,False,False,False,negative_control,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\hk_large_cap\case_lingxi_tabular_rl_router_h5_top5_industry_size_neutral_daily.csv,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\hk_large_cap\case_lingxi_static_menu_h5_top5_industry_size_neutral_daily.csv
case_lingxi_tabular_rl_router,Frozen tabular RL router,crypto_major,10,raw,532,-0.28430959,-0.25012678,-0.03418281,-1.35184455,-1.17372810,-0.24084998,-0.60878071,-0.60148317,-0.00729754,-0.09093169,-0.00941407,-0.44581625,-0.05018200,-0.05622676,0.00326522,False,False,False,False,False,False,negative_control,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\crypto_major\case_lingxi_tabular_rl_router_h5_top10_raw_daily.csv,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\crypto_major\case_lingxi_static_menu_h5_top10_raw_daily.csv
case_lingxi_tabular_rl_router,Frozen tabular RL router,crypto_major,10,industry_size_neutral,532,-0.29878435,-0.29462193,-0.00416241,-1.37975578,-1.36346651,-0.02363885,-0.60215471,-0.58833706,-0.01381766,-0.05733158,0.04191418,-0.28571406,0.22050481,-0.03548286,0.02592108,False,False,False,False,False,False,negative_control,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\crypto_major\case_lingxi_tabular_rl_router_h5_top10_industry_size_neutral_daily.csv,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\crypto_major\case_lingxi_static_menu_h5_top10_industry_size_neutral_daily.csv
case_lingxi_tabular_rl_router,Frozen tabular RL router,crypto_major,5,raw,532,-0.23908936,-0.23385223,-0.00523714,-1.13034665,-1.10369493,-0.03472198,-0.60480816,-0.58907906,-0.01572909,-0.08456257,0.06526608,-0.40257324,0.33974271,-0.05308469,0.03723038,False,False,False,False,False,False,negative_control,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\crypto_major\case_lingxi_tabular_rl_router_h5_top5_raw_daily.csv,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\crypto_major\case_lingxi_static_menu_h5_top5_raw_daily.csv
case_lingxi_tabular_rl_router,Frozen tabular RL router,crypto_major,5,industry_size_neutral,532,-0.30357386,-0.29777975,-0.00579410,-1.51225993,-1.50133736,-0.01868393,-0.63084242,-0.62035164,-0.01049078,-0.08492284,0.06547219,-0.43332457,0.34478461,-0.06305715,0.04505269,False,False,False,False,False,False,negative_control,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\crypto_major\case_lingxi_tabular_rl_router_h5_top5_industry_size_neutral_daily.csv,experiments\case_lingxi_rl_router_validation_2025_2026_ytd\crypto_major\case_lingxi_static_menu_h5_top5_industry_size_neutral_daily.csv
case_lingxi_market_tag_router,Structured market-tag router,cn_a_share,10,raw,831,1.13843960,1.27608556,-0.13764596,6.95651585,6.80134962,0.24901634,-0.14692241,-0.17485119,0.02792878,-0.24554392,0.12410002,-0.70360310,1.10865624,-0.02409787,0.10207187,False,True,True,False,False,False,negative_control,experiments\case_lingxi_llm_tag_ablation_2026_ytd\cn_a_share\case_lingxi_market_tag_router_h5_top10_raw_daily.csv,experiments\case_lingxi_llm_tag_ablation_2026_ytd\cn_a_share\case_lingxi_static_menu_h5_top10_raw_daily.csv
case_lingxi_market_tag_router,Structured market-tag router,cn_a_share,10,industry_size_neutral,831,0.64674934,1.00750959,-0.36076026,4.67116358,5.86207346,-0.47020485,-0.23935227,-0.23572026,-0.00363201,-0.36686060,-0.05965147,-1.31247587,0.37318118,-0.06185836,0.07692909,False,False,False,False,False,False,negative_control,experiments\case_lingxi_llm_tag_ablation_2026_ytd\cn_a_share\case_lingxi_market_tag_router_h5_top10_industry_size_neutral_daily.csv,experiments\case_lingxi_llm_tag_ablation_2026_ytd\cn_a_share\case_lingxi_static_menu_h5_top10_industry_size_neutral_daily.csv
case_lingxi_market_tag_router,Structured market-tag router,cn_a_share,5,raw,831,1.28551281,1.61957350,-0.33406069,6.77343840,6.96125806,0.19528325,-0.16452809,-0.26143525,0.09690716,-0.41227014,0.10549018,-0.81756525,1.24923285,-0.05645702,0.12270226,False,True,True,False,False,False,negative_control,experiments\case_lingxi_llm_tag_ablation_2026_ytd\cn_a_share\case_lingxi_market_tag_router_h5_top5_raw_daily.csv,experiments\case_lingxi_llm_tag_ablation_2026_ytd\cn_a_share\case_lingxi_static_menu_h5_top5_raw_daily.csv
case_lingxi_market_tag_router,Structured market-tag router,cn_a_share,5,industry_size_neutral,831,0.97616915,1.30653058,-0.33036143,5.61496022,6.16813672,-0.04698800,-0.20569310,-0.25457365,0.04888055,-0.34637522,0.01569122,-1.02738309,0.75258245,-0.04165187,0.11568006,False,False,True,False,False,False,negative_control,experiments\case_lingxi_llm_tag_ablation_2026_ytd\cn_a_share\case_lingxi_market_tag_router_h5_top5_industry_size_neutral_daily.csv,experiments\case_lingxi_llm_tag_ablation_2026_ytd\cn_a_share\case_lingxi_static_menu_h5_top5_industry_size_neutral_daily.csv
case_lingxi_market_tag_router,Structured market-tag router,us_large_cap,10,raw,863,0.49411922,0.49517317,-0.00105396,5.72424969,6.11084273,-0.30989840,-0.14511662,-0.11600676,-0.02910986,-0.05486587,0.04887650,-1.02145755,0.28767132,-0.04625936,0.01371609,False,False,False,False,False,False,negative_control,experiments\case_lingxi_llm_tag_ablation_2026_ytd\us_large_cap\case_lingxi_market_tag_router_h5_top10_raw_daily.csv,experiments\case_lingxi_llm_tag_ablation_2026_ytd\us_large_cap\case_lingxi_static_menu_h5_top10_raw_daily.csv
