candidate,candidate_label,market,topk,variant,linear_cost_bps,aum_multiplier,impact_bps,days,candidate_ann_return,menu_ann_return,ann_diff,candidate_sharpe,menu_sharpe,sharpe_diff,candidate_mdd,menu_mdd,mdd_diff,ann_win,sharpe_win,mdd_win
case_lingxi_context_router,Conservative context router,cn_a_share,5,raw,10.00,2.00,10.00,831,1.23695730,1.57548446,-0.33852716,4.30119848,4.18925011,0.11194837,-0.16695216,-0.26914491,0.10219275,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,raw,10.00,2.00,20.00,831,1.16572486,1.53212823,-0.36640337,4.13177249,4.11723769,0.01453480,-0.16936967,-0.27677583,0.10740616,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,raw,10.00,5.00,0.00,831,1.31050813,1.61957350,-0.30906537,4.46983937,4.26101458,0.20882479,-0.16452809,-0.26143525,0.09690716,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,raw,10.00,5.00,5.00,831,1.25216671,1.58465699,-0.33249028,4.33658502,4.20430064,0.13228439,-0.16644503,-0.26753682,0.10109178,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,raw,10.00,5.00,10.00,831,1.19528389,1.55020006,-0.35491617,4.20282824,4.14743045,0.05539780,-0.16835787,-0.27358907,0.10523120,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,raw,10.00,5.00,20.00,831,1.08575049,1.48264114,-0.39689065,3.93398562,4.03324069,-0.09925507,-0.17217124,-0.28554718,0.11337594,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,raw,10.00,10.00,0.00,831,1.31050813,1.61957350,-0.30906537,4.46983937,4.26101458,0.20882479,-0.16452809,-0.26143525,0.09690716,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,raw,10.00,10.00,5.00,831,1.22843020,1.57032905,-0.34189884,4.28123958,4.18076291,0.10047666,-0.16723785,-0.27004970,0.10281185,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,raw,10.00,10.00,10.00,831,1.14923949,1.52199881,-0.37275932,4.09167170,4.10020275,-0.00853105,-0.16993940,-0.27856584,0.10862644,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,raw,10.00,10.00,20.00,831,0.99912088,1.42801423,-0.42889335,3.71013928,3.93821208,-0.22807280,-0.17531797,-0.29533634,0.12001837,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,industry_size_neutral,10.00,0.50,0.00,831,0.97803192,1.30653058,-0.32849866,3.99082224,4.05642913,-0.06560689,-0.17899905,-0.25457365,0.07557460,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,industry_size_neutral,10.00,0.50,5.00,831,0.96611131,1.29844264,-0.33233133,3.95618002,4.03999543,-0.08381541,-0.18024368,-0.25615665,0.07591297,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,industry_size_neutral,10.00,0.50,10.00,831,0.95426169,1.29038272,-0.33612103,3.92150007,4.02355109,-0.10205102,-0.18148648,-0.25773634,0.07624986,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,industry_size_neutral,10.00,0.50,20.00,831,0.93077373,1.27434658,-0.34357285,3.85203103,3.99063093,-0.13859990,-0.18396657,-0.26088583,0.07691926,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,industry_size_neutral,10.00,1.00,0.00,831,0.97803192,1.30653058,-0.32849866,3.99082224,4.05642913,-0.06560689,-0.17899905,-0.25457365,0.07557460,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,industry_size_neutral,10.00,1.00,5.00,831,0.96119445,1.29510072,-0.33390627,3.94181963,4.03318524,-0.09136561,-0.18075869,-0.25681138,0.07605269,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,industry_size_neutral,10.00,1.00,10.00,831,0.94449860,1.28372683,-0.33922822,3.89274241,4.00992017,-0.11717776,-0.18251465,-0.25904250,0.07652785,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,5,industry_size_neutral,10.00,1.00,20.00,831,0.91152709,1.26114587,-0.34961878,3.79437549,3.96332768,-0.16895218,-0.18601561,-0.26348500,0.07746939,False,False,True
