date,symbol,score,label
2025-04-23,sz001289,1.1274180668,-0.0535211311
2025-04-23,sz001391,0.9947035941,-0.0549450549
2025-04-23,sz001965,0.4116391669,0.0015612985
2025-04-23,sz001979,0.5787894874,-0.0557276247
2025-04-23,sz002001,0.4943812864,0.0009053775
2025-04-23,sz002027,0.5425778398,0.0389610685
2025-04-23,sz002028,0.2323430703,-0.0084045186
2025-04-23,sz002049,0.1710085142,-0.0407796131
2025-04-23,sz002050,-1.2112492673,0.0375532314
2025-04-23,sz002074,-0.4868533350,0.0248016087
2025-04-23,sz002142,-0.0165101986,-0.0236927828
2025-04-23,sz002179,0.3288355106,-0.0066014725
2025-04-23,sz002180,-0.0854275337,-0.0291519435
2025-04-23,sz002230,-0.3730672462,0.0405765109
2025-04-23,sz002236,-0.5668939989,0.0108211673
2025-04-23,sz002241,-2.2017104994,-0.0102803788
2025-04-23,sz002252,0.3074502755,-0.0014880656
2025-04-23,sz002304,-0.1487961865,-0.0569150461
2025-04-23,sz002311,0.9755262035,0.0458058326
2025-04-23,sz002352,0.5313844857,0.0071742647
2025-04-23,sz002371,0.8911676664,-0.0105969864
2025-04-23,sz002384,-2.2850388034,0.0537458991
2025-04-23,sz002415,-0.7041432749,-0.0094803346
2025-04-23,sz002422,1.4741443655,0.0399195956
2025-04-23,sz002463,-1.3995605264,-0.0067639797
2025-04-23,sz002475,-3.6667267274,-0.0215667404
2025-04-23,sz002493,-0.2148824227,0.0246001627
2025-04-23,sz002594,-0.8952665133,-0.0508078204
2025-04-23,sz002600,-1.5705135166,0.0257069226
2025-04-23,sz002601,-0.4595572281,-0.0189798123
2025-04-23,sz002625,0.6188738018,0.0235265583
2025-04-23,sz002648,-1.4024730561,0.0396095935
2025-04-23,sz002709,-0.7746948713,0.0168702254
2025-04-23,sz002714,0.3249902998,-0.0173396061
2025-04-23,sz002736,0.5297960333,0.0177903090
2025-04-23,sz002916,-1.1473105344,-0.0150871841
2025-04-23,sz002920,-0.7717047946,0.0313581906
2025-04-23,sz002938,-1.7261635580,-0.0298811226
2025-04-23,sz003816,0.2936151395,-0.0167598485
2025-04-23,sz300014,-1.3078972607,0.0165800551
2025-04-23,sz300015,-0.2380357701,0.0350877535
2025-04-23,sz300033,-0.8091650016,-0.0216034183
2025-04-23,sz300059,-1.5392369927,-0.0024248366
2025-04-23,sz300122,-0.8040410994,-0.0617529880
2025-04-23,sz300124,-0.6262590964,0.1149353653
2025-04-23,sz300251,-0.1163308558,-0.0262626197
2025-04-23,sz300274,-1.6203420972,0.0408794313
2025-04-23,sz300308,-1.9082133453,-0.0003591930
2025-04-23,sz300316,-0.8438229207,-0.0362038601
2025-04-23,sz300347,-1.3774320457,-0.0158835208
2025-04-23,sz300394,-1.8003584763,-0.0542069041
2025-04-23,sz300408,-0.1596935596,-0.0527333094
2025-04-23,sz300413,0.5204837219,-0.1550185884
2025-04-23,sz300433,-2.0247435792,0.0111758944
2025-04-23,sz300442,-1.0146674956,-0.1055248630
2025-04-23,sz300476,0.0936984198,-0.0386626731
2025-04-23,sz300502,-0.7631484068,-0.0168619309
2025-04-23,sz300628,-1.1420454525,-0.0145486898
2025-04-23,sz300661,2.6089926126,-0.1003743963
2025-04-23,sz300750,-2.2450455117,-0.0079280076
2025-04-23,sz300759,-1.0687240848,0.0198063101
2025-04-23,sz300760,-1.0631418755,0.0112328515
2025-04-23,sz300782,-0.0695951085,-0.0674059304
2025-04-23,sz300803,-0.6446519613,0.0429154092
2025-04-23,sz300832,-0.8067362419,0.0155008804
2025-04-23,sz300866,-1.1925835291,0.0405247121
2025-04-23,sz300896,0.0246441820,0.0139140201
2025-04-23,sz300979,-0.7852622077,-0.0871347076
2025-04-23,sz300999,0.2152934862,0.0222179551
2025-04-23,sz301236,-0.6850945474,0.0395419537
2025-04-23,sz301269,1.0579516127,-0.0165841592
2025-04-23,sz302132,0.0793154848,-0.0037307081
2025-04-24,sh600000,0.7447058529,0.0400372721
2025-04-24,sh600009,0.3830083124,0.0049859718
2025-04-24,sh600010,0.2817292282,0.0397727273
2025-04-24,sh600011,0.8876177391,0.0250696483
2025-04-24,sh600015,1.0546194882,-0.1000000527
2025-04-24,sh600016,0.3260485882,0.0000000000
2025-04-24,sh600018,0.2155975538,-0.0018248172
2025-04-24,sh600019,-0.3428644839,0.0567484636
2025-04-24,sh600023,0.6300480828,-0.0765217942
