date,symbol,score,label
2025-07-21,sh600085,-0.0003331526,0.0055663791
2025-07-22,sh600085,-0.0005408653,0.0063500828
2025-07-23,sh600085,-0.0003967496,0.0151807894
2025-07-24,sh600085,0.0007502738,-0.0150519978
2025-07-25,sh600085,0.0013353315,0.0140612076
2025-07-28,sh600085,0.0020406829,0.0274010518
2025-07-29,sh600085,0.0025976903,0.0131687243
2025-07-30,sh600085,0.0036050740,-0.0027188690
2025-07-31,sh600085,0.0032073805,0.0144484579
2025-08-01,sh600085,0.0051299999,-0.0106035889
2025-08-04,sh600085,0.0047626544,-0.0137392241
2025-08-05,sh600085,0.0057797517,-0.0132683455
2025-08-06,sh600085,0.0057793260,-0.0084514722
2025-08-07,sh600085,0.0042929565,-0.0041084634
2025-08-08,sh600085,0.0039904760,-0.0046716131
2025-08-11,sh600085,0.0042375682,-0.0054629883
2025-08-12,sh600085,0.0022483690,0.0008232711
2025-08-13,sh600085,0.0033141035,0.0115479791
2025-08-14,sh600085,0.0037203122,0.0225522552
2025-08-15,sh600085,0.0041689002,0.0240198785
2025-08-18,sh600085,0.0046979075,0.0269156825
2025-08-19,sh600085,0.0058421514,0.0205648478
2025-08-20,sh600085,0.0050047757,-0.0086980158
2025-08-21,sh600085,0.0047747705,-0.0295857988
2025-08-22,sh600085,0.0053033324,-0.0380156376
2025-08-25,sh600085,0.0052676041,-0.0350361059
2025-08-26,sh600085,0.0028069671,-0.0397635680
2025-08-27,sh600085,0.0020867179,-0.0298875788
2025-08-28,sh600085,0.0023145366,-0.0277161863
2025-08-29,sh600085,0.0008030122,-0.0165358744
2025-09-01,sh600085,0.0005782995,-0.0105321508
2025-09-02,sh600085,-0.0020752041,-0.0100727476
2025-09-03,sh600085,-0.0034295464,-0.0053702657
2025-09-04,sh600085,-0.0059965221,0.0082668187
2025-09-05,sh600085,-0.0068737788,0.0025648333
2025-09-08,sh600085,-0.0080848184,-0.0187675070
2025-09-09,sh600085,-0.0082465886,-0.0084793669
2025-09-10,sh600085,-0.0094375573,-0.0025575448
2025-09-11,sh600085,-0.0093334761,-0.0110262935
2025-09-12,sh600085,-0.0090173429,-0.0110858442
2025-09-15,sh600085,-0.0090271460,-0.0162717671
2025-09-16,sh600085,-0.0111216441,-0.0256556442
2025-09-17,sh600085,-0.0127519306,-0.0193732194
2025-09-18,sh600085,-0.0128024480,-0.0237278445
2025-09-19,sh600085,-0.0130668503,-0.0169588962
2025-09-22,sh600085,-0.0135285736,-0.0072547882
2025-09-23,sh600085,-0.0132099828,-0.0046811001
2025-09-24,sh600085,-0.0131110123,-0.0029052876
2025-09-25,sh600085,-0.0117198925,0.0120058565
2025-09-26,sh600085,-0.0121168312,-0.0023391813
2025-09-29,sh600085,-0.0124295957,0.0046769950
2025-09-30,sh600085,-0.0117630002,0.0091122869
2025-10-09,sh600085,-0.0111056459,0.0067016317
2025-10-10,sh600085,-0.0094076757,-0.0083912037
2025-10-13,sh600085,-0.0083062279,-0.0029308324
2025-10-14,sh600085,-0.0068369063,-0.0098923480
2025-10-15,sh600085,-0.0067985868,-0.0078648412
2025-10-16,sh600085,-0.0063672336,-0.0153400868
2025-10-17,sh600085,-0.0075699915,-0.0102130143
2025-10-20,sh600085,-0.0080459415,-0.0032333921
2025-10-21,sh600085,-0.0083631622,-0.0091096092
2025-10-22,sh600085,-0.0075638103,-0.0061655901
2025-10-23,sh600085,-0.0076586662,-0.0038212816
2025-10-24,sh600085,-0.0075578814,-0.0008844340
2025-10-27,sh600085,-0.0073368226,-0.0061928635
2025-10-28,sh600085,-0.0064017015,-0.0077105575
2025-10-29,sh600085,-0.0062389751,-0.0091580502
2025-10-30,sh600085,-0.0052550694,-0.0115078194
2025-10-31,sh600085,-0.0046157956,-0.0020655060
2025-11-03,sh600085,-0.0045632805,0.0198813056
2025-11-04,sh600085,-0.0040092586,0.0301852959
2025-11-05,sh600085,-0.0040779491,0.0357781753
2025-11-06,sh600085,-0.0043912601,0.0453731343
2025-11-07,sh600085,-0.0033390305,0.0440567711
2025-11-10,sh600085,-0.0032039080,0.0168751818
2025-11-11,sh600085,-0.0009919643,0.0188569771
2025-11-12,sh600085,0.0004921787,-0.0048934945
2025-11-13,sh600085,0.0019781664,-0.0199885780
2025-11-14,sh600085,0.0039743654,-0.0470121779
2025-11-17,sh600085,0.0055158619,-0.0400572246
2025-11-18,sh600085,0.0040443674,-0.0390091116
2025-11-19,sh600085,0.0028030052,-0.0297946196
