date,symbol,score,label,adapter_weight
2025-04-30,sz001979,0.7783056280,-0.0120217996,0.000000
2025-04-30,sz002001,0.5433861703,-0.0031660026,0.000000
2025-04-30,sz002027,0.7472106167,0.0125000091,0.000000
2025-04-30,sz002028,-0.0428391376,0.0101431159,0.000000
2025-04-30,sz002049,0.1543257726,0.0479837405,0.000000
2025-04-30,sz002050,-1.0171955512,0.0410447989,0.000000
2025-04-30,sz002074,-0.5568742909,0.1689254546,0.000000
2025-04-30,sz002142,-0.2762383184,0.0594142167,0.000000
2025-04-30,sz002179,0.5179449092,0.0393797613,0.000000
2025-04-30,sz002180,-0.2714983905,0.0432211101,0.000000
2025-04-30,sz002230,-0.2437719647,0.0164074026,0.000000
2025-04-30,sz002236,-0.2085911546,0.0171756080,0.000000
2025-04-30,sz002241,-2.7509654640,0.0934844651,0.000000
2025-04-30,sz002252,-0.0107683898,0.0104321326,0.000000
2025-04-30,sz002304,-0.4814403525,0.0056851300,0.000000
2025-04-30,sz002311,1.5390865947,-0.0189257284,0.000000
2025-04-30,sz002352,0.6124226897,-0.0085018231,0.000000
2025-04-30,sz002371,0.7875669811,-0.0316657784,0.000000
2025-04-30,sz002384,-3.0773070729,0.1093508582,0.000000
2025-04-30,sz002415,-0.8073087986,0.0258773724,0.000000
2025-04-30,sz002422,1.3490832213,-0.0803645428,0.000000
2025-04-30,sz002463,-1.5001500822,0.1354838594,0.000000
2025-04-30,sz002475,-3.2478247805,0.1059967627,0.000000
2025-04-30,sz002493,-0.0236657414,0.0312125042,0.000000
2025-04-30,sz002594,0.3204460327,0.0486844785,0.000000
2025-04-30,sz002600,-1.7874369994,0.0665058161,0.000000
2025-04-30,sz002601,-0.6695851839,0.0205562465,0.000000
2025-04-30,sz002625,1.9174654163,0.0154028436,0.000000
2025-04-30,sz002648,-2.8825430301,0.0353396002,0.000000
2025-04-30,sz002709,-0.8962860022,0.0554920173,0.000000
2025-04-30,sz002714,1.0252869660,-0.0108394300,0.000000
2025-04-30,sz002736,0.8994741897,0.0128794527,0.000000
2025-04-30,sz002916,-1.5249455849,0.0695285271,0.000000
2025-04-30,sz002920,-0.8378908177,0.0334740054,0.000000
2025-04-30,sz002938,-2.5692694577,0.0787539007,0.000000
2025-04-30,sz003816,0.3381765059,0.0142047530,0.000000
2025-04-30,sz300014,-1.4676407766,0.0774099370,0.000000
2025-04-30,sz300015,0.0119187826,-0.0007704703,0.000000
2025-04-30,sz300033,-0.6400172439,0.0406032493,0.000000
2025-04-30,sz300059,-0.5958362487,0.0559066606,0.000000
2025-04-30,sz300122,-2.5802098136,0.0387473461,0.000000
2025-04-30,sz300124,0.0195776091,-0.0167621221,0.000000
2025-04-30,sz300251,-1.1139379639,-0.0228215872,0.000000
2025-04-30,sz300274,-1.3125479523,0.1080858146,0.000000
2025-04-30,sz300308,-1.6256268562,0.1650497034,0.000000
2025-04-30,sz300316,-1.5231129190,0.0521517245,0.000000
2025-04-30,sz300347,-1.7708601302,0.0008966549,0.000000
2025-04-30,sz300394,-1.8277197056,0.1138982146,0.000000
2025-04-30,sz300408,-0.8177357682,-0.0052462601,0.000000
2025-04-30,sz300413,-0.2624883601,0.0365156018,0.000000
2025-04-30,sz300433,-2.2531535705,0.1047573457,0.000000
2025-04-30,sz300442,-1.3851497078,-0.0310891318,0.000000
2025-04-30,sz300476,-0.0857480201,0.0941900215,0.000000
2025-04-30,sz300498,0.8752975244,-0.0177095799,0.000000
2025-04-30,sz300502,0.1609479454,0.2567100903,0.000000
2025-04-30,sz300628,-1.9668342341,0.0644772514,0.000000
2025-04-30,sz300661,3.2070345940,-0.0293301581,0.000000
2025-04-30,sz300750,-0.7676884548,0.1101511892,0.000000
2025-04-30,sz300759,-1.6055130033,0.0082002602,0.000000
2025-04-30,sz300760,-0.8190666366,0.0432031321,0.000000
2025-04-30,sz300782,-0.2379189009,0.0173862548,0.000000
2025-04-30,sz300803,0.0543815069,0.0559428743,0.000000
2025-04-30,sz300832,-1.3309363578,0.0152642707,0.000000
2025-04-30,sz300866,-1.9243584463,0.1448671776,0.000000
2025-04-30,sz300896,-0.1794864246,-0.0004624333,0.000000
2025-04-30,sz300979,-1.1500284409,0.0938902984,0.000000
2025-04-30,sz300999,0.2738733409,-0.0138408075,0.000000
2025-04-30,sz301236,0.3211988244,0.0394148033,0.000000
2025-04-30,sz301269,1.6754898670,-0.0088094594,0.000000
2025-04-30,sz302132,0.9852198610,0.6316595779,0.000000
